WorkerId,Name,Experiment,Link,isExperimentDone?,ST(10)/ET(40),totalWins,QuestionnairesDone?,Total payment,,Gender
64a6832daa154e67c58b971b,pilot2-8,ST_DevR,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR?key=6fd212d94e509bf541bacf4f190ae4dcaed2fbc2c9fd3cf35c225886953143ff73c0a03467fdaabe50ce15155fbdecb02b2581c172ff7feafd26635e8d4b0db5,1,13,563,1,59,,1
64a6832daa154e67c58b971c,pilot2-9,ST_DevR,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR?key=d1dfedf8fc5974d1d2f629c9deedfc880c4348dc90a6246d29398cd7ffb048ede66ca7d836b70b7597e046de163e07435e5d6baed43705dfdc6af9e0d70d8671,1,13,501,,18,,1
64a6832daa154e67c58b971d,pilot2-10,ST_DevR,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR?key=d9b8262f1b54c5809641deb9d72f8dee7156d06bf620a34af45d10a5643fe4412a920f350da7042865368ce642cb2d0aeb31f46499a095dee3166f56b6de3334,1,13,480,,18,,1
64a6832daa154e67c58b971e,pilot2-11,ST_DevR,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR?key=37fac8837d6b5704ba70cb5e5e9c8a0c7422b6ef3aff56b28b970c6a6db314c9195b40b969696f32ef82765d035b0520ac2f888add8b8f8d3d6f6efcea9f6358,1,13,516,1,58,,1
64a6839eaa154e67c58b971f,pilot2-12,ST_DevR,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR?key=9c6d6cd6f940d645bb5af75057b2a4f935e2ee3c9a023e05173b9cd4b158103b34aee382f3b04bffb84ea6090c1d343ced3452d78b010e6847644743150f340c,1,13,549,,18,,0
64a683c2aa154e67c58b9721,pilot3-1,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=936ff8e68edacaaad60b275d8ae2097166736f5f513b590fca8efcae52bc89c9ff00a3c093d21a20b23c0954b0bf45563bb51dbbcbb8da763f379a6994a3a55e,0,60,677,,didn't finish,,
64a683c2aa154e67c58b9722,pilot3-2,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=3501691d20b72dcfb1d2ab81524718dcf9c124d434ac6809cd5562bc72b2d528a2e8d79818d5baa4d475ca7c574f8b30ffd31669d205caa6ecb0d37e9d5c8a66,1,60,2410,1,124,,1
64a683c2aa154e67c58b9723,pilot3-3,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=75d348ae2918c592f9596d14538a2bd5c3c185e243ac1a12621a9c3552c3233dae19350cf8eae2de5fa344b29a12de8c16ac8ec318185ab8f38a91b4f4c228e7,1,60,2475,1,125,,1
64a683c2aa154e67c58b9724,pilot3-4,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=05aa96d517d32b31a2349394a3894210a125cdb912080dcb63267ebbadc5a677b973744e5ee2205ed65f70d67f14f659543503a2f69ad137dabab99f16a1f1c6,1,60,2696,1,127,,1
64a683c2aa154e67c58b9725,pilot3-5,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=e98404888425c2db6b3d752f8e97551206cad154c728dde3697f332a0dd07b1ad431bb5e465e8c72ffdd2b029a1e00d35a012f5c5eeb2856a8bbca22bfe44f18,0,60,2604,,didn't finish,,1
