WorkerId,Name,Experiment,Sub Num,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,Gender
64f9b271d2c8fb647d0adfd0,pilot2-7,ST_DevR2p,2207,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=dab6247dbf79dc52b67d2a82a3d6d8098acdce44fb0dd8e8d571ea93229b5d0cdb08338594a6a6739dcb99a2ec32b74bcf163e50add3bcca2989d6c49ae4b2f5,1,18,489,,18,,
64f9b271d2c8fb647d0adfd1,pilot2-8,ST_DevR2p,2208,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=2c89e8b8901d4e0cfc424a411ca5a66f6015f27791983bcdf864b55aed97c634cfc527231ad7f36e66602125685d3613be8b4ef4ed223268646028e8083cb616,1,18,478,,18,,1
64f9b271d2c8fb647d0adfd2,pilot2-9,ST_DevR2p,2209,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=9059104c400d78d2bb89950e4c2364025e2b8e7c04bb34e77b3fee331324b21f2e99a9be8f504d233bd9358b2959d6978b8c2db4e5b5c814c275854219aa932b,1,18,468,1,58,,1
64f9b271d2c8fb647d0adfd3,pilot2-10,ST_DevR2p,2210,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=f6706f42e2de35c402cb2e897d307f86f502b8d3b571b13c14d13be450548cb52589daf38a15dab4f514058e223a1446ce62ede904a3e0456e305cea910082c4,1,18,485,1,58,,1
64f9b271d2c8fb647d0adfd4,pilot2-11,ST_DevR2p,2211,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=11cd78d1decfc368e78101742c834edf5a7acb02c6563c88b24231158e6a6f5e26924c4874ad46c1802d5f148aedc9a2e2ca218cfc5c6b5f88fde6725be8b0b7,1,18,459,1,58,,1
64f9b271d2c8fb647d0adfd5,pilot2-12,ST_DevR2p,2212,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=227256c3e338962e002467306266118e8806c28152f8190974e4e3239f6a8fcb2d759efc611c5bf05720eb2e02cc19b1b6a977254168057961cac3399b919986,1,18,478,1,58,,1
64f1e80dd2c8fb647d0add55,pilot3-1,ET_DevL2p,2301,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=0d705ceb69ca63aae6f56e635e789ca8e35125c23092063fe4ad5d64f5d458e2a8592d5a7341238d5f182d2792f55d0f9cadb5ee8dcd1d6a23955996c0e14735,,80,,,didn't finish,"said the game didn't work, didn't play and participation was stopped",
64f1e80dd2c8fb647d0add56,pilot3-2,ET_DevL2p,2302,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=6477d95e6ea00cced310ac3101afca0500624818779dce50711ee60f8b2c00b67784910d59ba1f307facd9ee327709af433e65d5c0a78b195bcca6a8e55fe986,1,80,2051,1,120,,1
64f41b2cd2c8fb647d0adda5,pilot3-3,ET_DevL2p,2303,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=8c8cb4c46957f12696b2dc56959e2c608708c13709480484afc3ceaf8c15f58f31d932f62d798e92d0cca14af8bf46760ff94613bb4aa6b67cfa9b816f506bd0,1,80,,1,140,"problem with the game, tests didn't start, did 2 tests on the last day (10 min)",1
64f1e80dd2c8fb647d0add58,pilot3-4,ET_DevL2p,2304,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=cba52186aa170859f02e191685c5b158b141ba0ffa7726f9ce72fda20ef41cd7d76cd7e14f2530fc108d23583f264b25e6da41c69d9ffe1416dca0a500203947,1,80,2039,1,120,"problen with day1 tests, data was not saved",1
64f1e80dd2c8fb647d0add5a,pilot3-6,ET_DevL2p,2306,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=4d341293cc800cdf309909bcaffd4adff228406b97ba266f4c8e3d2d58e04df7707f6ea0c9fb4bbf74e7fc00fd9d3c6d4891f4dc2dd50f82dd2079d90125e828,1,80,2049,1,120,,1
64f1e80dd2c8fb647d0add5b,pilot3-7,ET_DevL2p,2307,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=9fef4f0ad1e18b6d63406ae70f06137f4460518a79559e85e90d4013948df7997e6018efda6767fdac8390dac5d9c33623f41980ce676e15f104b8526327ac78,2,80,1842,1,120,outlier,1
64f1e80dd2c8fb647d0add5c,pilot3-8,ET_DevL2p,2308,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=3c6ff82c792a528f8ad1d4527ce4b26c6cac0070774fbe44fd8064f0776ea527074887bd7c3dd36caf275ef10400de77af94c1c81041431b52093d3e64db9f28,2,80,1762,1,120,missed more than one day of training,0
64f1e80dd2c8fb647d0add5d,pilot3-9,ET_DevL2p,2309,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=7bcc855cd407e2dd8a5b561b4443363bd0da63d2ba30e50dbed74dd4794121cc9a6185dc4c04685ae7a1af75b9f4d83d0b34cc95cd6473912c7b83af54f7145c,,80,,,didn't finish,stopped playing,
64f1e80dd2c8fb647d0add5e,pilot3-10,ET_DevL2p,2310,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=1fcbfde27bc505816d1a8ce7a37acab729f0782bc0efb5a4bfd5541ccef8ee4dfffecf45ae42e957ef54e1e737c33b594c5e54de31168e1cebdadb0981fed75e,1,80,1862,1,120,,1
64f1e80dd2c8fb647d0add5f,pilot3-11,ET_DevL2p,2311,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=b5b48c6158e557fd3d347802e59cac793d3aa8393c856747268d7d3c1f688df93553d46a2094357eb79ab3ac5d05ef63b236de3d08aaaeb728293dbbb000ca84,,80,,,didn't finish,didn't start,
