WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,,Gender
65c8928cd2c8fb647d0aea9e,pilot31-1,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=a56ff40487e494d0681d113f9b89eb2ce1d1bf654146754a9cc532e2a97e6f88232fec7fa33f74a352a441584ff23f63f831c8334f3737f8852de5866e95d46e,1,18,422,,18,,3101,1
65c887d0d2c8fb647d0aea84,pilot31-2,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=4d5a7831c209b19624424fd6cc45ef750f5187735a89358d3a6f194b47f266c5d65663c56837d1a2166fe4e52dee65af7c655163acd6ac5d79df9292f65526f3,,18,,,didn't finish,problem with the app,,
65c887d0d2c8fb647d0aea85,pilot31-3,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=3506433ac70d2c195c24813183e752a3971d45e6cade6b4ee3184c11d165c0c1b2c0914ee59670638d9aab50a36dedcbff0947bf8c7f76ee07a21754096ab11f,1,18,406,1,58,,3103,0
65c887d0d2c8fb647d0aea86,pilot31-4,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=ef7db924ae1f9cb8bb170d73f5ab010e0fa10de517ae139663229fbf24997866268b6ba4b3eca09d85fe9c1b1309816184c4b3aa40a20e9a9afb3a9b11263578,1,18,428,1,58,,3104,1
65c887d0d2c8fb647d0aea88,pilot31-6,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=46ba910df709f34a287b7f62410ae6150feb3670a6037a5abe3e35ed5203da2fa386d8955b8086713d9538d493d806ff4b39224cc363ea8a922c8738d15e76d7,1,18,434,1,58,,3106,1
65c887d0d2c8fb647d0aea89,pilot31-7,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=7585b20146edf6457655775647c87c8e4c77c8ba0d61d171401517d4a7e5fb8e5c16f404a404518653e46312f522d1da041fe6de95a66d2799906f9a0021b116,1,18,474,1,58,wrong dev button,3107,1
65c887d0d2c8fb647d0aea8a,pilot31-8,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=8aa56894dad01c1d84009ceb47430c356faf58766adda3268dae1654a35b721db1e7677c05d0d052dde0f5cea523ef80917a59b6a9ad00e93790c81160d4fe2a,1,18,470,1,58,,3108,1
65c887d0d2c8fb647d0aea8b,pilot31-9,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=8fd11685a2c07938a00958e78c044237cc57e1c1965c9d4b5d7d0e5ac1525b03f416e480f619f3162a1a3030bed2d8c3aec5ca5930d3695e2b1db73e600fd830,1,18,462,1,58,,3109,1
65c887d0d2c8fb647d0aea8c,pilot31-10,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=d4b0a9a6ef276df78ea5fa389c64d7f2d1a84ea969c589c71eb03549da646e6a2fd9b1ad2ca26d022be5027720ce77448b32104a2685a80c0b0254bc407a4451,1,18,458,1,58,,3110,1
65c887d0d2c8fb647d0aea8d,pilot31-11,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=f447ca92d21c98fa467d0783612eb604037fcabc1c540d2225270a5c608533d2599fb050a1b2d760233b075081cd62311226de6f61747fa8b238e77d507e7e90,2,18,,1,58,problems with days,3111,0
65c887d0d2c8fb647d0aea8e,pilot31-12,ST_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevL2p?key=47317368e2a9a2b4e4eef5d46abb8ac3a02d58bb3afacd062ddd0e03047b858bed9bd8c65af60c3100c57ad05c42cf25dc56ec777e737d440f8d9c65e8166ff1,1,18,425,1,58,,3112,0
65c8924ad2c8fb647d0aea9d,pilot32-1,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=b7a5e72debd57604ec63b723f7a78b367860753abef160952e01b31c79e956a08481c36212457f1c2ace3333b7f4ed6714f1fd2f6e2fbfe130db95f7a1e5d381,1,18,467,1,58,,3201,1
65c88845d2c8fb647d0aea92,pilot32-2,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=bba7577f15125ca31f9416e019e9c566956d4cbf677a26d756c99d132aa631612c96dba61d17cc24d4159469f9a9f471d4768e1c84962a36f8d852f7e40c9bf6,1,18,473,1,58,,3202,1
65cb4f48d2c8fb647d0aeba4,pilot32-3,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=76a5d07404c746c4e44030f40e86bd51a38c23383cc8f408f53b4212dbb3b2c5c4edbd3cc493d8cb36bd1252615766896341aefe4fa5a219e295baccb0e66366,1,18,452,,18,,,
65c88845d2c8fb647d0aea94,pilot32-4,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=d093ad261738586058ad0abb80ff1da1b79975c5fb9b89dc7c6902984042089ecaef998d878ef52133b3d348c05105730d8f4e3c2e541a8afafc40a889b1c739,2,18,332,1,58,two outliers,3204,0
65c88845d2c8fb647d0aea95,pilot32-5,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=b582c298077a9b523bdb67ab386e876ac81399848be6dbc7160f5b0daceefe2f563446b68758d60855cec2746e704545e72718e773349c6409076298afdda5c5,1,18,418,1,58,,3205,1
65c88845d2c8fb647d0aea96,pilot32-6,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=7ddb6fc3cdb32adf8257336d07bfee82cbf1f976462d733a76157fb4a6d9b3069c870c389b40e0c2f9d79b4b2623561ec5bb235deb1f0b53c29fe9c40a0b88df,1,18,480,1,58,,3206,0
65c88845d2c8fb647d0aea97,pilot32-7,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=20f8678670776ab04f027949367730c26b5dcb7e6f549130216da511bf1ec1166457b9686229f9c28c7c00cabd3af40ca25d83619a1ab26bfb34fc61c41cf87c,1,18,389,1,58,,3207,0
65c88845d2c8fb647d0aea98,pilot32-8,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=f069c7472bf1b3d014db8143129007a1ef1d64370e72074cf0a8e1ca56609fb7c7e3bb1d4c327c619ea0fbeae92391239f8e30db81552b44102f3889ed374373,1,18,444,1,58,,3208,0
65c88845d2c8fb647d0aea99,pilot32-9,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=78b61d133d596703c8b5791ccb17b080991f631b3b50ccc7967ca1fb1084316be4b64677913c7a3dc4738cef34df3be54931825ec4814f38a2b881a598e5b921,1,18,478,1,58,,3209,0
65c88845d2c8fb647d0aea9a,pilot32-10,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=fc217fc78896c82c97bc9b260bb4016e129c2da55bfb09cb6541108301a897c5529e655b5966e21ef156e195a37b1a847096549973944242e9e56c8cc9a5a1b5,1,18,444,1,58,,3210,1
65c88845d2c8fb647d0aea9b,pilot32-11,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=b53cf9fba0f2df2dc7c612f13bde91746585c9959923e10b6db3ada7b47b7232d625dca29a6350e7ef9f0d2a5b1f823c237003d7c4bdfa065e1af2ac2fc5e007,1,18,455,1,58,,3211,1
65c88845d2c8fb647d0aea9c,pilot32-12,ST_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR2p?key=15b5532dd5dff0650b90d7061fe9e5b578dc66f82b8b4eb351ed3e823a8ee76a698c515d420c1cf016f78db02f8654c6fa36a9340c5b648d1f00d58cec039b6b,1,18,455,1,58,,3212,1
65ba0c38d2c8fb647d0ae78f,pilot33-1,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=1d02364f6f20b1d29b33ecf7afd124ca07b0b1c794c06b0e1d3304e69fa4bfc9fb34f7213fe4aceef1f601b570b7ec708eac524850b6605419fe62c7b8132939,1,80,2412,1,120,,3301,0
65ba0c38d2c8fb647d0ae790,pilot33-2,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=0eb16843a0461accf54a6de92a71ade865c00f231451e1b91fdf0f77df277e2df6a9c1e6eb33cc5980bf90a97ae7b000b9001a292775f0349925fb71282aeff1,1,80,2105,1,120,,,
65bf7bacd2c8fb647d0ae84b,pilot33-3,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=63955d1d9f400c9f00f4844cd858478684a97dedf9b348c36b3d2e2a5e68dd2ea7b77dcb3837c0e9ead5e2f0492981432789d8b81657c2cd9fb026d76b94dc45,1,80,2259,1,120,,3303,1
65ba0c38d2c8fb647d0ae792,pilot33-4,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=5c5397586954f1b35ef9de9e78f753b279ddfe212a9a486062cef8f77b7d0a61bb0c2e53b60b2ec3ddee778e03889a1c9cde6e6b9fe246a714e8075228edf95e,1,80,2142,1,120,,3304,1
65ba0c38d2c8fb647d0ae793,pilot33-5,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=727a0d8664ce9542b09d2add1612d9b27818d6fc5a6aa06263a8665ee29b0e1a8350f8aa6b1f54f5df3f9df72ecda18a26462ba4301715eba0f5af30be5b625b,1,80,2071,1,120,,3305,1
65ba0c38d2c8fb647d0ae794,pilot33-6,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=bdbbc164dd086c346f37905df54a35337a5d10d9e9fbac535b52f52bb6311f1baa557abfb19a393ff4427be3626f323344ef9876a97a5589292c16ed8d577409,1,80,2231,1,120,,3306,0
65ba0c38d2c8fb647d0ae795,pilot33-7,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=a03b73865171e275d9e9904546686b56603fd6746d3bac2a423d856b48a56eb369957bc27d8282a6ac877a78fefadb3814782764b574d6ec2d38d9b740c46f24,1,80,2376,1,120,,3307,1
65ba0c38d2c8fb647d0ae796,pilot33-8,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=00d683205925f2dd4db722c5efacfa926ff7f9227bf798a6defd12e3fef81f775e347a1ecfa13f65904d5cfd91352348e2c078e6ebdeb9e6517f72597eebacf5,,80,,,didn't finish,stopped playing,,
65ba0c38d2c8fb647d0ae797,pilot33-9,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=e8d645bca21bd162d715a534c2e652ba31c463478719621bc7ba80fed64851a3984cc3bd3a2fc848873e506d10bd90ab63d46f3d669979677c4611c2ee7ce222,1,80,2232,1,120,,3309,1
65ba0c38d2c8fb647d0ae798,pilot33-10,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=b3054e23852820fbdaeededa0aeed75cabfd89c9d8d11ec98c32ecd04b9511fef1d16c44090db5596e5d055cd53768cb2cf755af3a9beda5333ca75047872834,1,80,2356,1,120,,3310,1
65ba0c38d2c8fb647d0ae799,pilot33-11,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=8b2e82bf4ba4f05c7213d38831d7634041cabdd36ad308518954ba03c5693e9377d3c4e64f5e38e0861a332fc1799a4ca86f1435e57fde8d0a59e79fa2d4bac2,1,80,1926,1,120,,3311,1
65ba0c38d2c8fb647d0ae79a,pilot33-12,ET_DevL2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=4c76ee73e5759beaeb567d04f9d7241b8a3b8f3b641246fc2501e99d49bbb09ea1645cbfdee9e660fadc55c6554e384f30baf82b94632be969fcd35fd445958f,1,80,2359,1,120,,3312,1
65ba0d2bd2c8fb647d0ae79c,pilot34-1,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=29bbdf95122ad00d5ec514ff41355047a10859da34fdbacd6ac117b3efbc2b3a7cc74e32d9593d34ff51bed9baf6acf774bff125a78ea6f6899c529f92ec596b,,80,,,didn't finish,stopped playing,,
65ba0d2bd2c8fb647d0ae79d,pilot34-2,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=7654f5580cb118af2a50a190d382fe522c9eec692cd2930c6387975aec17de10c0c5dd42e705be771f1de7f2b9f0346e4f6a2970ec85a5e43980385f55d56613,,80,,,didn't finish,stopped playing,,
65ba0d2bd2c8fb647d0ae79e,pilot34-3,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=8fb9e92a7d11242c1e936b5873df77b09aca13ce6e76e4fe2ac17e3a2bc82bfe4e7005007f50d5eeb2727646ac88b4a1900f6ff4edc5157069e28f7d5e1e72e8,,80,,,didn't finish,stopped playing,,
65ba0d2bd2c8fb647d0ae79f,pilot34-4,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=8850324ae3730782534773fc211692fefbdca65f8ae005fa94f667d05aeb29b5efecfa14e465024f36976d88fca6884defe61885615e181578f6384b69f7c13a,1,80,2283,1,120,,3404,0
65ba0d2bd2c8fb647d0ae7a0,pilot34-5,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=2a882296a389daafa4eec4df5e8b82dc2276847ba5fdacef62b1a42327306474fc5ab20cfc75a7639f9225d1ac3955d3b8a6033f38cf895d02e965d1fea40906,1,80,2117,1,120,,3405,0
65ba0d2bd2c8fb647d0ae7a1,pilot34-6,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=ef44224cd9db54dff3eca6667261eadf8e50e72d3fb059949cc000a749a3fecc1e796cd61d3e40db806e0f6a9b8c22fb22fe5ab9b53818e416b6302e758fb703,1,80,2365,1,120,,3406,1
65ba0d2bd2c8fb647d0ae7a2,pilot34-7,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=90eb755060268fb08aca8ba8a9ca5b160b9a778d0832f3eb3f6c5d1ab3909afd3e3cbf08f0d7ac667352b84d553fefad43c66365b862604403c69fd707b597cc,1,80,1946,1,120,,3407,1
65ba0d2bd2c8fb647d0ae7a3,pilot34-8,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=bca33505d756f81b85d8d5afe4154dd66003e90876a26c3ccd8900506ce210521517206d6412e7a2bcb91411dc9a16314f48d87959028e00aac17b75346b8082,1,80,2985,1,120,,3408,0
65ba0d2bd2c8fb647d0ae7a4,pilot34-9,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=83dabb33e39749be4c928220d14c5372190373d4c8fe4a9bdf45e5c404cb715730798cff2b1f750e98222b6972e122a375b732486bcca656cb02eef486ad5b80,1,80,3730,1,120,,3409,1
65ba0d2bd2c8fb647d0ae7a5,pilot34-10,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=4b8110b70669fee77ed37353652474e0ba9dac5772e85b6ed6d0a2159006d4cfcec13d63955bf4c0c4c6397525519f41cf939f0467aefa0d5684568ea1997a39,1,80,2331,1,120,,3410,0
65ba0d2bd2c8fb647d0ae7a6,pilot34-11,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=f30725b2f3e946781509957d8dac8db32b3144d2a30e37f20bb81f2d470835f8a35a3d2288cfaa2d7e7d6a4f22037c0e96bd0be6ed32ef9371f490af574e6d32,1,80,2062,1,120,,3411,0
65ba0d2bd2c8fb647d0ae7a7,pilot34-12,ET_DevR2p,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=dc8f5d89a2988b2e97781371cd8f35130c9476ef04a69bfd3685f6ee1b245e8c2ac725a6f3c5a87c51083e2673b8e37244ada3a51cc6787ce52a545ce9434b84,1,80,2279,1,120,,3412,0
