WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,,Gender
65f2b26ed2c8fb647d0af0ef,pilot42-7,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=6f7759734d53344b7e5eb97bccf47777419987a3858d3c3a2ec57c4260d6bc522dc4f5bb035bab10380876b8e619123a31d34b1cd893850a94368857a6cd1416,1,18,681,1,58,,4207,1
65f2b26ed2c8fb647d0af0f0,pilot42-8,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=4737a90433f998b02a7051ce6aed965a054b16170921d0733110d7f06ef928ea557102b552ea6b8a738ab21e59f9a570d91ed02b26f2af54ba47b6a6d910733d,1,18,572,1,58,,4208,1
65f2b26ed2c8fb647d0af0f1,pilot42-9,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=1129b1b26eab318d34087fc3c454d5e3bba8b3c950daebb53e7007cbdf98936076bcc88014849803d2045cd3804556fc6d3b646a7c98152a3a04d7d96f015372,,18,,0,didn't finish,stopped playing,,
65f2b26ed2c8fb647d0af0f2,pilot42-10,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=5d1a53f20cef5a37fa7d832342bebc0570d7f3a4b635bf80be36a0f858038be6ce364bcd82ee2e07cac481daedc1d2179fbf6935f347f0cfd3052ec92d2a2a3b,1,18,522,1,58,,4210,1
65f2b26ed2c8fb647d0af0f3,pilot42-11,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=c13b6c848ea48f5586b91ff38193a53978a9ebbad9a23e1898fa4efa6c3a8e8b2e311a30c14fb685c2bcf4fa19931076df5ab1f033c6cd61d533ad67a23ab5cb,1,18,595,1,58,,4211,1
65f2b26ed2c8fb647d0af0f4,pilot42-12,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=41efdc773af7bdbf6e32fef4a026030943d673abe4376b7d6b7553b74e9cdeb2a76377a0c9dd7f7d68a62c1bc0e72ced490a7109bfd3c33c74828f63ff6c7fab,1,18,484,1,58,,4212,0
65e86454d2c8fb647d0aef73,pilot43-1,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=88683bb70dd149c25fe95670eb80932945d0ecf3dea1690bc09a995c4ed70326e2444c62f88a827acd01d16bc872a7ab226a470957d699cb6d57e0463d1053d3,,80,,0,didn't finish,stopped playing,,
65e86454d2c8fb647d0aef74,pilot43-2,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=f6deeaf7dc08042244d6ba53853e21b4af4395d4f3cde71938aa3fb36fff47416a84d2c5ced8327d984173603796641a3442ab4d230bfef79f11b8614333c4a5,1,80,2965,1,120,,4302,0
65e86454d2c8fb647d0aef75,pilot43-3,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=315d5e55bb0238feb09bda2916637599aed48f66fbffec912d643f60219a3fa84698b824a991f338e815369a8459003d513d6764397b601909113176da0524f8,,80,,0,didn't finish,stopped playing,,
65e86454d2c8fb647d0aef76,pilot43-4,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=4bad7ce64bc399b43306d9971d9aabd23c2b0336533ac7d8ed59dfcac36395e5871012a4c381ca5e209e38a52b7854122877590d267726f25bf257a8b678473a,1,80,3835,1,120,,4304,0
